Category,Licence No.,Name,Business Phone,Business Phone Ext.,Licence Address Line 1,Licence Address Line 2,Licence Address Line 3,Endorsements,Latitude,Longitude
RETAIL STORE (FOOD),B50-4185075,CHESTER VARIETY,4167786436,,410 DANFORTH AVE,"TORONTO, ON",M4K 1P3,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.67792719,-79.35148352
RETAIL STORE (FOOD),B50-4186256,M MILK VARIETY,4164615391,,868 DANFORTH AVE,"TORONTO, ON",M4J 1L7,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.68010161,-79.34005303
RETAIL STORE (FOOD),B50-4186970,JADRANKA PASTRIES,4166044419,,257 SCARLETT RD,"TORONTO, ON",M6N 4K9,BAKE SHOP;,43.67736757,-79.50587872
GROCERY STORE,B50-4935203,SOHAN WEST INDIAN SUPERMARKET,4162407116,,1642 JANE ST,"TORONTO, ON",M9N 2R9,REFRESHMENTS;,43.70098857,-79.50361874
RETAIL STORE (FOOD),B50-4935956,GONG CHA,,,390 QUEEN ST W,"TORONTO, ON",M5V 2A6,REFRESHMENTS;,43.6488155,-79.39693196
RETAIL STORE (FOOD),B50-4186038,YES FOOD FAIR,4166904995,,1940 GERRARD ST E,"TORONTO, ON",M4L 2C1,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.68104337,-79.31115909
RETAIL STORE (FOOD),B50-4187062,BAYVIEW JUG MILK,4166702931,,1639 BAYVIEW AVE,"TORONTO, ON",M4G 3B5,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.70687324,-79.37532664
RETAIL STORE (FOOD),B50-4187035,CARNICERO'S,5197175278,,"93 FRONT ST E, #26","TORONTO, ON",M5E 1C3,REFRESHMENTS;,43.64915322,-79.37161359
RETAIL STORE (FOOD),B50-4185194,STAY IN HOTEL,4162597899,,560 EVANS AVE,"TORONTO, ON",M8W 2W1,FOODSTUFFS;,43.61210901,-79.54471696
RETAIL STORE (FOOD),B50-4185554,THJ DOLLAR BAZAAR,4166040298,,2967 DUNDAS ST W,"TORONTO, ON",M6P 1Z2,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.66528907,-79.46813661
GROCERY STORE,B50-4186654,SOBEYS #691,9052387124,5046,"777 BAY ST, #427","TORONTO, ON",M5G 2C8,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.66064293,-79.38538208
RETAIL STORE (FOOD),B50-4186876,COFFEE & DELI DELIGHT,4166180435,,"2180 YONGE ST, FL3","TORONTO, ON",M4S 2B9,REFRESHMENTS;,43.70464706,-79.39825038
RETAIL STORE (FOOD),B50-4187389,TOBY'S FOOD MART,4166903800,,86 KINGSTON RD,"TORONTO, ON",M4L 1S6,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.66962697,-79.31169282
RETAIL STORE (FOOD),B50-4187213,COBS BREAD,4164359852,CELL,2204 BLOOR ST W,"TORONTO, ON",M6S 1N4,FOODSTUFFS;BAKE SHOP;,43.65149396,-79.47572826
RETAIL STORE (FOOD),B50-4187519,HADFIELD VARIETY,4162829159,,80 DEARHAM WOOD,"TORONTO, ON",M1E 1S4,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.75360966,-79.18664331
GROCERY STORE,B50-4187549,YAL MARKET,4162675551,,2499 EGLINTON AVE E,"TORONTO, ON",M1K 2R1,REFRESHMENTS;,43.7338527,-79.25923563
RETAIL STORE (FOOD),B50-4186357,TABAC CUBAN CIGARS,4163623501,,502 YONGE ST,"TORONTO, ON",M4Y 1X9,"CIGARS, CIGARETTES & TOBACCO;",43.66321791,-79.38409494
RETAIL STORE (FOOD),B50-4187332,DE LA MER,4164858805,,1543 BAYVIEW AVE,"TORONTO, ON",M4G 3B5,REFRESHMENTS;,43.70513385,-79.37471921
RETAIL STORE (FOOD),B50-4187635,WANGCHUANBAO,,,878 WESTON RD,"TORONTO, ON",M6N 3R7,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.68335805,-79.48162465
RETAIL STORE (FOOD),B50-4186011,LA CASA DE FUMA CIGARS TOBACCO EMPORIUM,,,3433 YONGE ST,"TORONTO, ON",M4N 2N1,"CIGARS, CIGARETTES & TOBACCO;",43.73345406,-79.40411547
RETAIL STORE (FOOD),B50-4187759,HONG KONG GOURMET,4166268886,,"460 RENFORTH DR, #13","TORONTO, ON",M9C 2N2,REFRESHMENTS;,43.65045635,-79.58013476
PHARMACY,B50-4187039,SHOPPERS DRUG MART,4162033700,,18 LOWER JARVIS ST,"TORONTO, ON",M5E 1N1,FOODSTUFFS;,43.6475037,-79.37088216
RETAIL STORE (FOOD),B50-4186894,BEIJING TONG REN TANG,4162979888,,"4577-4583 STEELES AVE E, A","TORONTO, ON",M1V 4S4,FOODSTUFFS;,43.82363867,-79.30583591
RETAIL STORE (FOOD),B50-4187314,ELM BASKET,4165999252,,23 ELM ST,"TORONTO, ON",M5G 1H1,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.65740884,-79.38290592
RETAIL STORE (FOOD),B50-4186892,EXTREME PITA,4168564156,,"2 BLOOR ST E, F1","TORONTO, ON",M4W 1A8,REFRESHMENTS;,43.67072784,-79.38555472
RETAIL STORE (FOOD),B50-4188479,DAISY MART,4164063673,,1274 GERRARD ST E,"TORONTO, ON",M4L 1Y7,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.67115542,-79.32785593
RETAIL STORE (FOOD),B50-4188098,MY 151 CONVENIENCE,4165338859,,151 BARTON AVE,"TORONTO, ON",M6G 1R1,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.66644306,-79.4193998
RETAIL STORE (FOOD),B50-4188799,FAMILY FOOD MART,6473481919,,"2468 EGLINTON AVE W, #4","TORONTO, ON",M6M 5E2,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.69202835,-79.46814074
RETAIL STORE (FOOD),B50-4188677,KARINE'S,4165910863,,"109 MCCAUL ST, #32","TORONTO, ON",M5T 3K5,REFRESHMENTS;,43.65382232,-79.39102566
GROCERY STORE,B50-4187209,LOBLAWS,9054592500,,585 QUEEN ST W,"TORONTO, ON",M5V 2B7,REFRESHMENTS;BAKE SHOP;,43.647554,-79.40159625
RETAIL STORE (FOOD),B50-4186773,MOUNTAIN EQUIPMENT CO-OPERATIVE,4163402667,,400 KING ST W,"TORONTO, ON",M5V 1K2,FOODSTUFFS;,43.64610209,-79.39319119
RETAIL STORE (FOOD),B50-4188877,AT LUCKY BARGAIN WAY,4162474917,,1691 JANE ST,"TORONTO, ON",M9N 2S3,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.70344234,-79.50361929
GROCERY STORE,B50-4187357,T & T SUPERMARKET,4162978113,8204,60 CARLTON ST,"TORONTO, ON",M5B 1J2,REFRESHMENTS;,43.66206094,-79.380033
PHARMACY,B50-4689918,MAIN DRUG MART,4165362139,,399 CHURCH ST,"TORONTO, ON",M5B 2J6,FOODSTUFFS;,43.66179349,-79.37893655
RETAIL STORE (FOOD),B50-4188594,BLUE SKY BAKERY,4162641515,,801 BRIMLEY RD,"TORONTO, ON",M1J 1C9,REFRESHMENTS;BAKE SHOP;,43.75243699,-79.25434965
RETAIL STORE (FOOD),B50-4187046,LEE'S VARIETY,,,1578 QUEEN ST W,"TORONTO, ON",M6R 1A6,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.63998589,-79.4406441
RETAIL STORE (FOOD),B50-4188299,THE SALT & PEPPER CATERING CO.,4169240715,,"287 DAVENPORT RD, #4","TORONTO, ON",M5R 1J9,REFRESHMENTS;,43.67416701,-79.39939696
RETAIL STORE (FOOD),B50-4188381,C-MART,6473442633,CELL,2402 EGLINTON AVE W,"TORONTO, ON",M6M 1S6,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",43.69222175,-79.46737231
RETAIL STORE (FOOD),B50-4185134,CAKESTAR,4162599053,,3431 LAKE SHORE BLVD W,"TORONTO, ON",M8W 1N2,REFRESHMENTS;BAKE SHOP;,43.59526964,-79.52893432
RETAIL STORE (FOOD),B50-4181796,HEALTHY PLANET,4162760839,cell,"1000 ISLINGTON AVE, #3","TORONTO, ON",M8Z 4P8,FOODSTUFFS;,43.6299894,-79.51829792
RETAIL STORE (FOOD),B50-4179139,RUNNING ROOM CANADA,7804393099,,"61 HANNA AVE, #1","TORONTO, ON",M6K 3N7,FOODSTUFFS;,43.63958789,-79.41903596
PHARMACY,B50-4185494,NOR-ARM PHARMACY,4166678430,,"1280 FINCH AVE W, #107","TORONTO, ON",M3J 3K6,FOODSTUFFS;,43.76425665,-79.48854086
RETAIL STORE (FOOD),B50-4536144,CEDARHILL MILK & VARIETY,4164388686,,850 MARKHAM RD,"TORONTO, ON",M1H 2Y2,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.76759814,-79.22894871
RETAIL STORE (FOOD),B50-4188088,JIAHUA TRADING COMPANY,4164636969,,597 GERRARD ST E,"TORONTO, ON",M4M 1Y2,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",43.66538928,-79.3517245
RETAIL STORE (FOOD),B50-4189740,KERNALS,4165860327,,"218 YONGE ST, H032","TORONTO, ON",M5B 2H6,REFRESHMENTS;,43.65340251,-79.38001854
RETAIL STORE (FOOD),B50-4188847,NORTHVIEW KFF CONVENIENCE,4162211508,,4949 BATHURST ST,"TORONTO, ON",M2R 1Y1,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.77436455,-79.44238476
RETAIL STORE (FOOD),B50-4189351,THE MEAT DEPT.,4163208790,,207 DANFORTH AVE,"TORONTO, ON",M4K 1N2,REFRESHMENTS;,43.67648651,-79.35589005
RETAIL STORE (FOOD),B50-4185192,CANADA'S BEST VALUE INN,4162555500,,650 EVANS AVE,"TORONTO, ON",M8W 2W6,FOODSTUFFS;,43.61036247,-79.55268072
RETAIL STORE (FOOD),B50-4189982,SINCLAIR VARIETY,,,2155 WESTON RD,"TORONTO, ON",M9N 1X8,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.70310173,-79.52482555
GROCERY STORE,B50-4188688,MARKHAM DANFORTH FOOD MARKET,4163988123,,651A MARKHAM RD,"TORONTO, ON",M1H 2A4,REFRESHMENTS;,43.76105413,-79.22539822
RETAIL STORE (FOOD),B50-4190036,SUBWAY RESTAURANT,4165512901,,130 KING ST W,"TORONTO, ON",M5X 1E2,REFRESHMENTS;,43.64816894,-79.38349366
RETAIL STORE (FOOD),B50-4189266,ANDS CONVENIENCE STORE,,,3262 LAWRENCE AVE E,"TORONTO, ON",M1H 1A4,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.75749885,-79.23869005
RETAIL STORE (FOOD),B50-4187992,PURE HEALTH,,,"25 KING ST W, #113","TORONTO, ON",M5L 1G2,FOODSTUFFS;,43.64866896,-79.37907596
RETAIL STORE (FOOD),B50-4190041,DAVID'S CONVENIENT NEIGHBORHOOD STORE,4166545500,,1038 ST CLAIR AVE W,"TORONTO, ON",M6E 1A5,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.67910884,-79.43885395
GROCERY STORE,B50-4190134,JE FOOD MARKET,4164614350,,1258 DANFORTH AVE,"TORONTO, ON",M4J 1M6,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.68200559,-79.33092363
RETAIL STORE (FOOD),B50-4190171,DOMINO'S PIZZA,4167409800,,180 QUEEN'S PLATE DR,"TORONTO, ON",M9W 6Y9,REFRESHMENTS;,43.71911049,-79.59413701
GROCERY STORE,B50-4189159,REAL FRUIT BUBBLE TEA,4168263512,,"31 TAPSCOTT RD, #72","TORONTO, ON",M1B 1Y7,REFRESHMENTS;,43.80659311,-79.22201047
RETAIL STORE (FOOD),B50-4189713,J&A TROPICAL,6474301272,,"1571 SANDHURST CIR, #400","TORONTO, ON",M1V 1V2,REFRESHMENTS;,43.80922934,-79.26931529
RETAIL STORE (FOOD),B50-4190295,WING MACHINE,4167825321,,1661B EGLINTON AVE W,"TORONTO, ON",M6E 2H1,REFRESHMENTS;,43.69661557,-79.44504843
RETAIL STORE (FOOD),B50-4187283,WINNERS #222,9054058000,,"147 LAIRD DR, #400","TORONTO, ON",M4G 4K1,FOODSTUFFS;,43.70964516,-79.36261047
RETAIL STORE (FOOD),B50-4187199,MARSHALLS #703,9054058000,,808 WARDEN AVE,"TORONTO, ON",M1L 4T7,FOODSTUFFS;,43.72408747,-79.28964222
RETAIL STORE (FOOD),B50-4187197,MARSHALLS #706,9054058000,,"158 NORTH QUEEN ST, #2","TORONTO, ON",M9C 1A8,FOODSTUFFS;,43.62107366,-79.55550291
RETAIL STORE (FOOD),B50-4187191,WINNERS #423,9054058000,,585 QUEEN ST W,"TORONTO, ON",M5V 2B7,FOODSTUFFS;,43.647554,-79.40159625
RETAIL STORE (FOOD),B50-4187187,HOMESENSE #013,9054058000,,1840 THE QUEENSWAY,"TORONTO, ON",M9C 5H5,FOODSTUFFS;,43.61585729,-79.56034431
RETAIL STORE (FOOD),B50-4188482,PAPYRUS,9052196463,,2901 BAYVIEW AVE,"TORONTO, ON",M2K 1E6,FOODSTUFFS;,43.76920286,-79.38602584
RETAIL STORE (FOOD),B50-4190305,RONCESVALLES CONVENIENCE PLUS,4165312616,,319 RONCESVALLES AVE,"TORONTO, ON",M6R 2M6,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.64868128,-79.44976035
RETAIL STORE (FOOD),B50-4537153,SUNNY CONVENIENCE,4167816245,,2851 DUFFERIN ST,"TORONTO, ON",M6B 3S4,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.7068798,-79.45279534
PHARMACY,B50-4187157,PROHEALTH PHARMACY,4164657776,,"343 COXWELL AVE, #3","TORONTO, ON",M4L 3B5,FOODSTUFFS;,43.67520674,-79.31992934
RETAIL STORE (FOOD),B50-4290544,AVO CONVENIENCE,4167482111,,"5200 FINCH AVE W, A3","TORONTO, ON",M9V 0A1,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.7435789,-79.58276721
RETAIL STORE (FOOD),B50-4290511,AREN'T WE SWEET,4168506132,,"95 FRONT ST E, B2","TORONTO, ON",M5E 1C2,FOODSTUFFS;,43.64918984,-79.37149694
RETAIL STORE (FOOD),B50-4185158,DAVIDS TEA,5147390006,323,"900 DUFFERIN ST, #0431","TORONTO, ON",M6H 4B1,REFRESHMENTS;,43.65581706,-79.43536233
RETAIL STORE (FOOD),B50-4185161,DAVIDS TEA,5147390006,323,2010 QUEEN ST E,"TORONTO, ON",M4L 1J3,REFRESHMENTS;,43.67034904,-79.29948951
RETAIL STORE (FOOD),B50-4185162,DAVIDS TEA,5147390006,323,"100 KING ST W, CN0154","TORONTO, ON",M5X 1B8,REFRESHMENTS;,43.6487781,-79.381714
RETAIL STORE (FOOD),B50-4185164,DAVIDS TEA,5147390006,323,"2901 BAYVIEW AVE, #107A","TORONTO, ON",M2K 1E6,REFRESHMENTS;,43.76920286,-79.38602584
RETAIL STORE (FOOD),B50-4189390,FONGSFIELD TRADING INC,4163359233,,"4675 STEELES AVE E, #2C7-2C9","TORONTO, ON",M1V 4S5,FOODSTUFFS;,43.82414676,-79.30252517
RETAIL STORE (FOOD),B50-4189216,BULK BARN,4165970330,,2 CARLTON ST,"TORONTO, ON",M5B 1J3,FOODSTUFFS;,43.66156461,-79.38289926
PHARMACY,B50-4290721,SHOPPERS DRUG MART,4164617533,,1630 DANFORTH AVE,"TORONTO, ON",M4C 1H6,FOODSTUFFS;,43.68396558,-79.3222686
RETAIL STORE (FOOD),B50-4188081,BOOSTER JUICE #78,4162249393,,"5700 YONGE ST, #03","TORONTO, ON",M2M 4K2,REFRESHMENTS;,43.78128652,-79.4162517
RETAIL STORE (FOOD),B50-4291081,MAC'S CONVENIENCE,6475334265,,1688 ALBION RD,"TORONTO, ON",M9V 1B8,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",43.74264664,-79.5970213
RETAIL STORE (FOOD),B50-4190001,CHURCH STREET EXPRESS PIZZA,,,447 CHURCH ST,"TORONTO, ON",M4Y 2C5,REFRESHMENTS;,43.66390678,-79.37991952
GROCERY STORE,B50-4291090,ALBERTO GROCERY,4164636087,,472 SAMMON AVE,"TORONTO, ON",M4J 2B4,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.68823051,-79.32950687
RETAIL STORE (FOOD),B50-4190201,KIN KIN BUBBLE TEA COMPANY,4169485168,cell,"595 BAY ST, F13","TORONTO, ON",M5G 2C2,REFRESHMENTS;BAKE SHOP;,43.65622103,-79.38330106
RETAIL STORE (FOOD),B50-4187859,DOLLARAMA,5147371006,1433,"700 LAWRENCE AVE W, #204","TORONTO, ON",M6A 3B4,FOODSTUFFS;,43.71693493,-79.44743415
RETAIL STORE (FOOD),B50-4187858,DOLLARAMA,5147371006,1433,"2181 STEELES AVE W, B6-B7","TORONTO, ON",M3J 3N2,FOODSTUFFS;,43.78474966,-79.47631448
RETAIL STORE (FOOD),B50-4187856,DOLLARAMA,5147371006,1433,1 EGLINTON SQ,"TORONTO, ON",M1L 2K1,FOODSTUFFS;,43.72301277,-79.30082595
RETAIL STORE (FOOD),B50-4187855,DOLLARAMA,5147371006,1433,96 SPADINA AVE,"TORONTO, ON",M5V 2J6,FOODSTUFFS;,43.64638307,-79.39573682
RETAIL STORE (FOOD),B50-4187849,DOLLARAMA,5147371006,1433,4841 YONGE ST,"TORONTO, ON",M2N 5X2,FOODSTUFFS;,43.76239518,-79.41076924
RETAIL STORE (FOOD),B50-4189883,RYERSON UNIVERSITY,4169795008,,"350 VICTORIA ST, #2ND FL","TORONTO, ON",M5B 2K3,REFRESHMENTS;,43.65776563,-79.38047983
RETAIL STORE (FOOD),B50-4290873,DIANA'S SEAFOOD,4162889286,,2101 LAWRENCE AVE E,"TORONTO, ON",M1R 2Z4,REFRESHMENTS;,43.74548366,-79.29154326
RETAIL STORE (FOOD),B50-4291416,CALIFORNIA THAI,4163458988,,"200 WELLINGTON ST W, CRU320","TORONTO, ON",M5V 3C7,REFRESHMENTS;,43.6458617,-79.38784946
GROCERY STORE,B50-4807711,KUMASI HOME MARKET,4167402020,,2734 JANE ST,"TORONTO, ON",M3L 2N1,REFRESHMENTS;,43.74341327,-79.51458832
GROCERY STORE,B50-4290925,BARACA HALAL FOODS,4165383516,,2192 DUNDAS ST W,"TORONTO, ON",M6R 1X3,REFRESHMENTS;,43.65372774,-79.45092652
RETAIL STORE (FOOD),B50-4291518,SAM JAMES COFFEE BAR,,,"150 KING ST W, C128","TORONTO, ON",M6K 1J9,REFRESHMENTS;,43.64822286,-79.3842355
RETAIL STORE (FOOD),B50-4291554,PINA FOOD,9058325589,,490 QUEENS DR,"TORONTO, ON",M6L 1M8,REFRESHMENTS;,43.71009955,-79.49606273
RETAIL STORE (FOOD),B50-4291552,PINA FOOD,9058325589,,99 HUMBER BLVD,"TORONTO, ON",M6N 2H4,REFRESHMENTS;,43.68033287,-79.48079682
RETAIL STORE (FOOD),B50-4291599,GARDENIA HOUSE CHINESE FOOD RESTAURANT,6472282230,,712 SCARLETT RD,"TORONTO, ON",M9P 2T5,REFRESHMENTS;,43.6953699,-79.52052919
PHARMACY,B50-4189374,FRONT STREET PHARMACY,4163621000,,431 KING ST E,"TORONTO, ON",M5A 1L5,FOODSTUFFS;,43.65352981,-79.36157602
RETAIL STORE (FOOD),B50-4291686,TIM HORTONS,4167692828,,3487 DUNDAS ST W,"TORONTO, ON",M6S 2S6,REFRESHMENTS;,43.66543807,-79.48817248
RETAIL STORE (FOOD),B50-4291688,TIM HORTONS,4167692828,,952 KING ST W,"TORONTO, ON",M6K 1E4,REFRESHMENTS;,43.64224769,-79.412478
RETAIL STORE (FOOD),B50-4291689,TIM HORTONS,4167692828,,110 WEST TORONTO ST,"TORONTO, ON",M6N 5B7,REFRESHMENTS;,43.66914637,-79.4694907
RETAIL STORE (FOOD),B50-4190416,REACH PERSONAL TRAINING,4169313686,,"287 DAVENPORT RD, #2-3","TORONTO, ON",M5R 1J9,FOODSTUFFS;,43.67416701,-79.39939696
RETAIL STORE (FOOD),B50-4290717,WAL-MART SUPERCENTRE #1117,9058212111,75205,3132 EGLINTON AVE E,"TORONTO, ON",M1J 2H1,FOODSTUFFS;BAKE SHOP;MOTOR OIL;,43.74236812,-79.22425262
GROCERY STORE,B50-4291969,DE LA MER FRESH FISH MARKET,4164858805,,291 RONCESVALLES AVE,"TORONTO, ON",M6R 2M3,REFRESHMENTS;,43.64779083,-79.4493903
PHARMACY,B50-4291977,ONE- STOP MEDICAL PHARMACY,,,3585 LAWRENCE AVE E,"TORONTO, ON",M1G 1P4,FOODSTUFFS;,43.75947164,-79.22413289
GROCERY STORE,B50-4292084,SUPERKING SUPERMARKET,4162418988,,"1635 LAWRENCE AVE W, #1","TORONTO, ON",M6L 3C9,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",43.70463403,-79.49223584
RETAIL STORE (FOOD),B50-4291763,BUSY BEE KING MART,4165049372,,677 KING ST W,"TORONTO, ON",M5V 1M9,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.64360898,-79.40325579
RETAIL STORE (FOOD),B50-4290955,DOLLARAMA #719,5147371006,1433,21 VAUGHAN RD,"TORONTO, ON",M6G 2N2,FOODSTUFFS;,43.68231138,-79.41848892
RETAIL STORE (FOOD),B50-4190072,SUEDOO,4166586300,,1220 DAVENPORT RD,"TORONTO, ON",M6H 2G8,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.67463518,-79.43366488
PHARMACY,B50-4190405,FRIENDLY CARE WEST KING PHARMACY,4162484485,,2077 WESTON RD,"TORONTO, ON",M9N 1X7,FOODSTUFFS;,43.70215694,-79.52244097
RETAIL STORE (FOOD),B50-4292359,INTERNATIONAL NEWS,6477082951,,"123 QUEEN ST W, G30","TORONTO, ON",M5H 3M9,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.65140667,-79.38315996
RETAIL STORE (FOOD),B50-4292528,BUTCHER BY NATURE,4162418187,,515 ANNETTE ST,"TORONTO, ON",M6P 1S1,REFRESHMENTS;,43.66002538,-79.47951333
GROCERY STORE,B50-4292669,FRESH HARVEST FINE FOODS,4164870388,,546 EGLINTON AVE W,"TORONTO, ON",M5N 1B4,FOODSTUFFS;,43.70347417,-79.41483821
RETAIL STORE (FOOD),B50-4190139,MGH VARIETY STORE,4164063582,,1317 DANFORTH AVE,"TORONTO, ON",M4J 1M8,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.68180027,-79.32949051
RETAIL STORE (FOOD),B50-4291660,SKYWAY CIGAR,4164400540,,"494 AVENUE RD, #0001","TORONTO, ON",M4V 2J5,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.68775852,-79.40247899
GROCERY STORE,B50-4291080,COLLEGE FRUIT MARKET,4165386283,,682 COLLEGE ST,"TORONTO, ON",M6G 1C1,FOODSTUFFS;,43.65539985,-79.41739694
RETAIL STORE (FOOD),B50-4292417,THE POWER VISION'S,4163995431,,319 YONGE ST,"TORONTO, ON",M5B 1R7,REFRESHMENTS;,43.65677016,-79.38091069
RETAIL STORE (FOOD),B50-4290706,CIRCLE K,4164221070,,904 MILLWOOD RD,"TORONTO, ON",M4G 1X1,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.70340802,-79.3633203
RETAIL STORE (FOOD),B50-4290930,BENTO SUSHI,9055130028,,585 QUEEN ST W,"TORONTO, ON",M5V 2B7,REFRESHMENTS;,43.647554,-79.40159625
RETAIL STORE (FOOD),B50-4290932,BENTO SUSHI,9055130028,,3090 BATHURST ST,"TORONTO, ON",M6A 2A1,REFRESHMENTS;,43.71962884,-79.43036733
PHARMACY,B50-4291128,ST. MICHAEL'S DRUG MART,4165322881,,565 COLLEGE ST,"TORONTO, ON",M6G 1B2,FOODSTUFFS;,43.65526475,-79.41270667
RETAIL STORE (FOOD),B50-4291556,PINA FOOD,9058325589,,60 ROWENA DR,"TORONTO, ON",M3A 3R2,REFRESHMENTS;,43.75082727,-79.31736855
PHARMACY,B50-4292742,DATU'S PHARMACY,4165884559,,"2238 DUNDAS ST W, #103","TORONTO, ON",M6R 3A9,FOODSTUFFS;,43.65438507,-79.45149942
PHARMACY,B50-4293111,YORK DOWNS PHARMACY,4166332244,,3910 BATHURST ST,"TORONTO, ON",M3H 5Z3,FOODSTUFFS;,43.74488277,-79.43631463
RETAIL STORE (FOOD),B50-4293507,NEW ALREHMAN HALAL MEAT,4168503369,,"101 WESTMORE DR, #112","TORONTO, ON",M9V 5C3,REFRESHMENTS;,43.73736108,-79.60148044
RETAIL STORE (FOOD),B50-4293574,JUST SOUPS TAKE OUT & CATERING,4164546072,,"1143 MORNINGSIDE AVE, #2","TORONTO, ON",M1B 0A7,REFRESHMENTS;,43.80118719,-79.19911172
RETAIL STORE (FOOD),B50-4290877,KEVIN'S FOOD GROUP,4167438288,,"675 BLOOR ST W, #4","TORONTO, ON",M6G 1L3,REFRESHMENTS;,43.66381481,-79.4162571
RETAIL STORE (FOOD),B50-4293432,4C,6472414147,,1758 LAWRENCE AVE E,"TORONTO, ON",M1R 2Y1,REFRESHMENTS;,43.74285462,-79.30781548
GROCERY STORE,B50-4293915,BLOOR MEATS AND GROCERY,,,676 BLOOR ST W,"TORONTO, ON",M6G 1L2,REFRESHMENTS;,43.66424572,-79.41665129
RETAIL STORE (FOOD),B50-4293928,JSA CONVENIENCE,4164171176,,"121 KENDLETON DR, MAIN FLOOR","TORONTO, ON",M9V 1V3,REFRESHMENTS;,43.7376027,-79.58083057
RETAIL STORE (FOOD),B50-4291351,SHIRLEY FINE FOOD PRODUCTS,4164102187,,1673 ST CLAIR AVE W,"TORONTO, ON",M6N 1H9,FOODSTUFFS;,43.67437212,-79.45816334
RETAIL STORE (FOOD),B50-4292239,MAJOR CONVENIENCE,4166905554,,1718 QUEEN ST E,"TORONTO, ON",M4L 1G7,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;BAKE SHOP;",43.66753315,-79.31188685
GROCERY STORE,B50-4293408,KAI WEI SUPERMARKET,6479797688,cell,253 SPADINA AVE,"TORONTO, ON",M5T 2E3,REFRESHMENTS;,43.65217628,-79.39729097
RETAIL STORE (FOOD),B50-4293371,ICE CREAM JUNCTION,4168934871,CELL,3103 DUNDAS ST W,"TORONTO, ON",M6P 1Z9,REFRESHMENTS;,43.66532677,-79.47299366
PHARMACY,B50-4293461,EAGLE MANOR PHARMACY,4162411115,,"1901 WESTON RD, #19","TORONTO, ON",M9N 3P5,FOODSTUFFS;,43.70058906,-79.51599334
RETAIL STORE (FOOD),B50-4294139,JUG TOWN,4166521067,,684 ST CLAIR AVE W,"TORONTO, ON",M6C 1B1,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;VAPOUR PRODUCTS (UNREGISTERED);",43.68194614,-79.42573051
RETAIL STORE (FOOD),B50-4294171,SMOKERS MART - TORONTO,4164656239,,1061 GERRARD ST E,"TORONTO, ON",M4M 1Z7,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;VAPOUR PRODUCTS (UNREGISTERED);",43.66902032,-79.33568936
RETAIL STORE (FOOD),B50-4294196,QUIZNOS SUB,4167771900,,"33 YONGE ST, #108","TORONTO, ON",M5E 1G4,REFRESHMENTS;,43.64756824,-79.3765874
RETAIL STORE (FOOD),B50-4188911,OM INDIA FOOD CENTRE TORONTO,4162978383,,"3300 MCNICOLL AVE, B6","TORONTO, ON",M1V 5J6,FOODSTUFFS;,43.82073396,-79.26101565
